LAT,LON,GSPEED,CRS,NLAT,NLON
48.0492081,17.567825499999998,1.42,234.79466000000002,48.0492067,17.5678235
48.0492067,17.5678235,1.74,229.29554000000002,48.049204499999995,17.5678209
48.049204499999995,17.5678209,1.99,224.78356000000002,48.049202,17.5678187
48.049202,17.5678187,2.08,213.39260000000002,48.049200299999995,17.5678172
48.049200299999995,17.5678172,2.09,209.3204,48.0491986,17.567815799999998
48.0491986,17.567815799999998,2.11,210.31240000000003,48.0491969,17.5678144
48.0491969,17.5678144,2.13,209.19154,48.0491953,17.5678128
48.0491953,17.5678128,2.11,208.70946,48.0491937,17.5678113
48.0491937,17.5678113,2.0100000000000002,214.80477000000002,48.0491922,17.5678098
48.0491922,17.5678098,2.13,212.98088,48.0491907,17.5678081
48.0491907,17.5678081,2.07,213.96145,48.0491884,17.5678056
48.0491884,17.5678056,1.99,219.23329,48.049186,17.567802999999998
48.049186,17.567802999999998,2.08,214.74723000000003,48.0491843,17.567801199999998
48.0491843,17.567801199999998,2.14,216.07674000000003,48.0491825,17.5677993
48.0491825,17.5677993,2.25,214.88631,48.0491805,17.567797199999998
48.0491805,17.567797199999998,2.47,215.67597,48.0491783,17.5677949
48.0491783,17.5677949,2.74,214.64614000000003,48.0491758,17.5677924
48.0491758,17.5677924,2.93,215.63780000000003,48.0491733,17.567789599999998
48.0491733,17.567789599999998,3.25,213.98508,48.0491691,17.5677853
48.0491691,17.5677853,3.46,215.54194,48.049164399999995,17.567780499999998
48.049164399999995,17.567780499999998,3.84,214.64732,48.0491611,17.5677771
48.0491611,17.5677771,4.18,214.79813000000001,48.049157799999996,17.5677737
48.049157799999996,17.5677737,4.3,214.67856,48.0491545,17.5677703
48.0491545,17.5677703,4.44,214.96282000000002,48.049150999999995,17.5677667
48.049150999999995,17.5677667,4.61,213.72444000000002,48.0491469,17.5677628
48.0491469,17.5677628,4.8,214.69459,48.049142599999996,17.567758599999998
48.049142599999996,17.567758599999998,5.04,213.82836,48.0491384,17.5677545
48.0491384,17.5677545,5.41,213.34504,48.0491337,17.5677499
48.0491337,17.5677499,5.7,212.88759000000002,48.049129,17.5677454
48.049129,17.5677454,6.1000000000000005,213.36011000000002,48.049121299999996,17.567738
48.049121299999996,17.567738,6.18,213.50081000000003,48.049116,17.5677327
48.049116,17.5677327,6.71,213.22524,48.0491105,17.567727299999998
48.0491105,17.567727299999998,7.0,213.63109000000003,48.049104799999995,17.567721799999998
48.049104799999995,17.567721799999998,7.18,213.74855000000002,48.0490736,17.567689899999998
48.0490736,17.567689899999998,8.57,215.38628000000003,48.0490632,17.5676787
48.0490632,17.5676787,8.91,216.00477,48.049056199999995,17.5676708
48.049056199999995,17.5676708,9.38,216.04901,48.0490491,17.5676626
48.0490491,17.5676626,9.55,217.05896,48.0490418,17.567653999999997
48.0490418,17.567653999999997,9.8,218.11050000000003,48.0490346,17.5676453
48.0490346,17.5676453,10.07,218.06305,48.0490273,17.567636399999998
48.0490273,17.567636399999998,10.13,219.46981000000002,48.0490199,17.567627299999998
48.0490199,17.567627299999998,10.28,219.06316,48.049012399999995,17.567618
48.049012399999995,17.567618,10.52,219.62140000000002,48.0490047,17.5676086
