LAT,LON,GSPEED,CRS,NLAT,NLON,NCRS,CMD
48.049239899999996,17.5678616,5.82,218.79327,48.0492335,17.5678546,217.61921,-0.51896945169964
48.0492335,17.5678546,5.82,217.61921,48.0492294,17.5678502,215.62779,-2.2379368448633303
48.0492294,17.5678502,5.72,215.62779,48.04922020000001,17.5678408,214.50922999999997,3.0552200760919397
48.04922020000001,17.5678408,4.87,214.50922999999997,48.0492171,17.5678377,213.42131,0.0022847373031034
48.0492171,17.5678377,4.49,213.42131,48.049214299999996,17.567834899999998,213.42131,2.3045744824886
48.049214299999996,17.567834899999998,4.49,213.42131,48.0492119,17.5678326,213.18301,1.6324980464443002
48.0492119,17.5678326,3.61,213.18301,48.0492098,17.5678304,212.9746,1.42443530695546
48.0492098,17.5678304,3.08,212.9746,48.0492082,17.5678285,215.71357999999998,8.1619621965528
48.0492082,17.5678285,2.65,215.71357999999998,48.049206299999994,17.5678264,218.10627999999997,7.832477840424071
48.049206299999994,17.5678264,2.2,218.10627999999997,48.0492052,17.5678251,215.65486,-7.124826770985741
48.0492052,17.5678251,1.58,215.65486,48.0492048,17.5678246,218.93188999999998,12.074777238723302
48.0492048,17.5678246,0.86,218.93188999999998,48.0492049,17.5678247,216.8065,-10.240227106802699
48.0492049,17.5678247,0.02,216.8065,48.0492048,17.5678246,235.13657999999998,35.0
48.0492048,17.5678246,0.08,235.13657999999998,48.0492048,17.5678247,221.17569,-35.0
48.0492048,17.5678247,0.04,221.17569,48.0492048,17.5678246,221.17569,-1.0081834601764301
48.0492048,17.5678246,0.04,221.17569,48.0492048,17.5678247,221.17569,1.0081835309901
48.0492048,17.5678247,0.03,221.17569,48.0492048,17.5678246,221.17569,-1.01796959929017
48.0492048,17.5678246,0.01,221.17569,48.0492048,17.5678247,221.17569,1.03812311747146
48.0492048,17.5678247,0.02,221.17569,48.0492048,17.5678246,221.17569,-1.0279475623224101
48.0492048,17.5678246,0.02,221.17569,48.0492048,17.5678247,221.17569,1.02794763452369
48.0492048,17.5678247,0.02,221.17569,48.0492048,17.5678246,221.17569,-1.0279475623224101
48.0492048,17.5678246,0.02,221.17569,48.0492048,17.5678247,221.17569,1.02794763452369
48.0492048,17.5678247,0.01,221.17569,48.0492049,17.567824800000004,221.17569,-0.14874700912640398
48.0492049,17.567824800000004,0.03,221.17569,48.0492049,17.5678247,221.17569,-1.0179696206009101
48.0492049,17.5678247,0.04,221.17569,48.0492048,17.5678247,221.17569,1.15258870866969
48.0492048,17.5678247,0.03,221.17569,48.0492048,17.5678246,221.17569,-1.01796959929017
48.0492048,17.5678246,0.01,221.17569,48.0492048,17.5678247,221.17569,1.03812311747146
48.0492048,17.5678247,0.01,221.17569,48.0492049,17.567824800000004,221.17569,-0.14874700912640398
48.0492049,17.567824800000004,0.03,221.17569,48.0492049,17.5678247,158.22943,-35.0
48.0492049,17.5678247,0.02,158.22943,48.0492049,17.567824800000004,158.22943,-0.5791336833516011
48.0492049,17.567824800000004,0.01,158.22943,48.049205,17.567824899999998,190.92186999999998,35.0
48.049205,17.567824899999998,0.02,190.92186999999998,48.0492049,17.567824899999998,118.51451000000002,-35.0
48.0492049,17.567824899999998,0.01,118.51451000000002,48.049205,17.567824899999998,118.51451000000002,-0.7527774951360479
48.049205,17.567824899999998,0.03,118.51451000000002,48.0492049,17.567824899999998,118.51451000000002,0.738162144574264
