LAT,LON,GSPEED,CRS,NLAT,NLON,NCRS
48.0504934,17.5697472,3.0,206.39912,48.050491,17.5697454,206.77498000000003
48.050491,17.5697454,2.94,206.77498000000003,48.0504886,17.5697436,206.73126000000002
48.0504886,17.5697436,2.93,206.73126000000002,48.050486199999995,17.5697419,206.17865
48.050486199999995,17.5697419,2.91,206.17865,48.050483899999996,17.5697402,206.74301000000003
48.050483899999996,17.5697402,2.86,206.74301000000003,48.0504816,17.5697385,206.52624000000003
48.0504816,17.5697385,2.7600000000000002,206.52624000000003,48.0504773,17.5697354,206.92528000000001
48.0504773,17.5697354,2.66,206.92528000000001,48.0504733,17.5697325,205.79583000000002
48.0504733,17.5697325,2.43,205.79583000000002,48.0504714,17.5697311,205.60287000000002
48.0504714,17.5697311,2.43,205.60287000000002,48.0504695,17.5697299,205.73881000000003
48.0504695,17.5697299,2.27,205.73881000000003,48.0504678,17.569728599999998,204.51733000000002
48.0504678,17.569728599999998,2.21,204.51733000000002,48.0504661,17.569727399999998,205.47701
48.0504661,17.569727399999998,2.08,205.47701,48.0504645,17.5697263,205.23065000000003
48.0504645,17.5697263,2.0,205.23065000000003,48.050463099999995,17.5697252,204.83937000000003
48.050463099999995,17.5697252,1.85,204.83937000000003,48.0504617,17.5697243,206.20855000000003
48.0504617,17.5697243,1.76,206.20855000000003,48.0504604,17.5697235,204.66090000000003
48.0504604,17.5697235,1.6400000000000001,204.66090000000003,48.0504593,17.5697227,205.44697000000002
48.0504593,17.5697227,1.46,205.44697000000002,48.050458299999995,17.569722,205.89218000000002
48.050458299999995,17.569722,1.37,205.89218000000002,48.0504574,17.5697214,203.06483000000003
48.0504574,17.5697214,1.19,203.06483000000003,48.0504566,17.5697208,204.33021000000002
48.0504566,17.5697208,1.07,204.33021000000002,48.0504556,17.5697202,205.05671
48.0504556,17.5697202,0.9,205.05671,48.0504551,17.569719799999998,202.75479
48.0504551,17.569719799999998,0.71,202.75479,48.050454599999995,17.5697194,203.18604000000002
48.050454599999995,17.5697194,0.65,203.18604000000002,48.0504543,17.569719199999998,204.66968000000003
48.0504543,17.569719199999998,0.51,204.66968000000003,48.050453999999995,17.569719,211.35594
48.050453999999995,17.569719,0.42,211.35594,48.0504538,17.569718899999998,205.38520000000003
48.0504538,17.569718899999998,0.32,205.38520000000003,48.0504537,17.5697188,202.87173
48.0504537,17.5697188,0.19,202.87173,48.0504536,17.5697187,205.96140000000003
48.0504536,17.5697187,0.14,205.96140000000003,48.0504536,17.569718599999998,208.04148
48.0504536,17.569718599999998,0.03,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.04,208.04148,48.0504536,17.569718599999998,208.04148
48.0504536,17.569718599999998,0.02,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.04,208.04148,48.0504536,17.569718599999998,208.04148
48.0504536,17.569718599999998,0.01,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.01,208.04148,48.0504537,17.5697185,208.04148
48.0504537,17.5697185,0.04,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.01,208.04148,48.0504536,17.569718599999998,208.04148
48.0504536,17.569718599999998,0.01,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.05,208.04148,48.0504537,17.5697185,208.04148
48.0504537,17.5697185,0.02,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.03,208.04148,48.0504537,17.5697185,208.04148
48.0504537,17.5697185,0.0,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.05,208.04148,48.0504537,17.5697185,208.04148
48.0504537,17.5697185,0.02,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.02,208.04148,48.0504537,17.5697185,208.04148
48.0504537,17.5697185,0.04,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.02,208.04148,48.0504537,17.5697185,208.04148
48.0504537,17.5697185,0.03,208.04148,48.0504537,17.569718599999998,208.04148
48.0504537,17.569718599999998,0.06,208.04148,48.0504537,17.5697187,208.04148
48.0504537,17.5697187,0.02,208.04148,48.0504537,17.5697185,208.04148
48.0504537,17.5697185,0.02,208.04148,48.0504537,17.569718599999998,234.51239
48.0504537,17.569718599999998,0.0,234.51239,48.0504536,17.569718599999998,234.51239
48.0504536,17.569718599999998,0.02,234.51239,48.0504537,17.569718599999998,234.51239
48.0504537,17.569718599999998,0.05,234.51239,48.0504536,17.569718599999998,234.51239
48.0504536,17.569718599999998,0.05,234.51239,48.0504537,17.569718599999998,234.51239
48.0504537,17.569718599999998,0.05,234.51239,48.0504536,17.569718599999998,234.51239
48.0504536,17.569718599999998,0.04,234.51239,48.0504537,17.5697185,234.51239
48.0504537,17.5697185,0.04,234.51239,48.0504536,17.569718599999998,234.51239
48.0504536,17.569718599999998,0.02,234.51239,48.0504537,17.569718599999998,234.51239
48.0504537,17.569718599999998,0.02,234.51239,48.0504536,17.5697187,234.51239
48.0504536,17.5697187,0.01,234.51239,48.0504536,17.5697188,234.51239
48.0504536,17.5697188,0.01,234.51239,48.0504536,17.5697187,234.51239
48.0504536,17.5697187,0.01,234.51239,48.0504536,17.5697188,234.51239
48.0504536,17.5697188,0.03,234.51239,48.0504536,17.5697187,234.51239
48.0504536,17.5697187,0.01,234.51239,48.0504536,17.5697188,234.51239
48.0504536,17.5697188,0.03,234.51239,48.0504536,17.5697187,234.51239
