LAT,LON,GSPEED,CRS,NLAT,NLON,NCRS,CMD
48.049128,17.567743,4.11,215.97256,48.0491248,17.5677392,215.64601,0.428833564066209
48.0491248,17.5677392,4.19,215.64601,48.0491212,17.5677358,215.10259,1.76091743569139
48.0491212,17.5677358,4.5,215.10259,48.0491176,17.5677319,214.55639,0.938064021630093
48.0491176,17.5677319,4.6,214.55639,48.0491139,17.5677279,215.14314,3.37451673061899
48.0491139,17.5677279,4.79,215.14314,48.0491101,17.5677238,215.80728,3.34396910940596
48.0491101,17.5677238,5.03,215.80728,48.0491062,17.5677196,216.33058,2.85595346197442
48.0491062,17.5677196,5.11,216.33058,48.0491021,17.5677153,215.67586,0.739786605409575
48.0491021,17.5677153,5.31,215.67586,48.0490745,17.5676867,215.08947,13.9490014455182
48.0490745,17.5676867,6.37,215.08947,48.0490695,17.5676815,214.95563,2.15543322241168
48.0490695,17.5676815,6.47,214.95563,48.0490643,17.5676761,215.13377,2.78460100509194
48.0490643,17.5676761,6.68,215.13377,48.049059,17.5676706,215.3678,2.80647767038323
48.049059,17.5676706,6.86,215.3678,48.0490537,17.5676649,214.89876,1.31281342362872
48.0490537,17.5676649,7.03,214.89876,48.0490482,17.5676591,215.72904,3.68968560746876
48.0490482,17.5676591,7.19,215.72904,48.0490426,17.5676531,215.38476,1.48294159928347
48.0490426,17.5676531,7.34,215.38476,48.0490369,17.567647,215.65199,2.54564160651357
48.0490369,17.567647,7.46,215.65199,48.049031,17.5676407,215.41518,1.74569382540329
48.049031,17.5676407,7.73,215.41518,48.0490251,17.5676342,215.90602,2.64746989018836
48.0490251,17.5676342,7.89,215.90602,48.049019,17.5676277,215.88752,1.99378821969984
48.049019,17.5676277,8.04,215.88752,48.0490128,17.5676209,216.02108,2.02567062480127
48.0490128,17.5676209,8.21,216.02108,48.0490065,17.567614,216.21976,2.08782546992933
48.0490065,17.567614,8.36,216.21976,48.0490001,17.5676068,216.40094,1.81122236435418
48.0490001,17.5676068,8.55,216.40094,48.0489936,17.5675996,216.54988,1.81526769823352
48.0489936,17.5675996,8.7,216.54988,48.048987,17.5675922,216.45294,1.33011908478984
48.048987,17.5675922,8.89,216.45294,48.0489802,17.5675846,216.98449,2.2916957389585
48.0489802,17.5675846,9.01,216.98449,48.0489734,17.5675767,217.54179,1.86647070967132
48.0489734,17.5675767,9.21,217.54179,48.0489665,17.5675688,217.77038,1.34537060370127
48.0489665,17.5675688,9.37,217.77038,48.0489596,17.5675606,217.61433,0.446542971756863
48.0489596,17.5675606,9.55,217.61433,48.0489526,17.5675523,218.4292,1.84576314363674
48.0489526,17.5675523,9.6,218.4292,48.0489456,17.5675438,218.24998,0.0554212054298144
48.0489456,17.5675438,9.74,218.24998,48.0489384,17.5675352,219.39229,2.04466135000225
48.0489384,17.5675352,9.9,219.39229,48.0489314,17.5675264,218.90434,-0.917066591880064
48.0489314,17.5675264,10.03,218.90434,48.0489243,17.5675176,219.95559,1.41677843114667
48.0489243,17.5675176,10.01,219.95559,48.0489173,17.5675087,220.02386,-0.413749661629189
48.0489173,17.5675087,10.07,220.02386,48.0489103,17.5674998,220.90268,0.662239750636846
48.0489103,17.5674998,10.02,220.90268,48.0489034,17.5674909,220.37951,-1.5919448925161
48.0489034,17.5674909,10.01,220.37951,48.0488966,17.5674819,220.96352,-0.151823018824153
48.0488966,17.5674819,9.97,220.96352,48.0488898,17.5674729,221.26296,-0.705973702493934
48.0488898,17.5674729,9.93,221.26296,48.0488831,17.5674638,221.92554,-0.509174915736284
48.0488831,17.5674638,9.92,221.92554,48.0488764,17.5674546,222.14562,-1.39699957316734
48.0488764,17.5674546,9.9,222.14562,48.0488697,17.5674455,222.70908,-0.899613197368933
48.0488697,17.5674455,9.95,222.70908,48.0488632,17.5674363,222.90221,-1.8666006686203
48.0488632,17.5674363,9.87,222.90221,48.0488566,17.5674271,223.38207,-1.44099067406204
48.0488566,17.5674271,9.82,223.38207,48.0488502,17.5674178,223.62581,-2.22285331979748
48.0488502,17.5674178,9.81,223.62581,48.0488438,17.5674085,224.06333,-2.03121794315664
48.0488438,17.5674085,9.75,224.06333,48.0488374,17.5673991,224.19693,-2.68781544154941
48.0488374,17.5673991,9.81,224.19693,48.0488311,17.5673897,224.73234,-2.26894935001492
48.0488311,17.5673897,9.74,224.73234,48.0488249,17.5673802,225.02142,-2.98561898102205
48.0488249,17.5673802,9.75,225.02142,48.0488188,17.5673708,225.50457,-2.79882852867771
48.0488188,17.5673708,9.66,225.50457,48.0488126,17.5673612,226.0177,-3.03345575906297
48.0488126,17.5673612,9.67,226.0177,48.0488066,17.5673516,226.42921,-3.52173470897379
48.0488066,17.5673516,9.68,226.42921,48.0488006,17.567342,226.60262,-3.96067114584663
48.0488006,17.567342,9.63,226.60262,48.0487947,17.5673323,227.08598,-3.81528871134519
48.0487947,17.5673323,9.62,227.08598,48.0487888,17.5673225,227.57798,-4.05477161147765
48.0487888,17.5673225,9.64,227.57798,48.0487831,17.5673128,228.17822,-4.12537095032539
48.0487831,17.5673128,9.61,228.17822,48.0487774,17.5673029,228.81561,-4.47879592027493
48.0487774,17.5673029,9.54,228.81561,48.0487717,17.5672928,229.28381,-5.1523177805035
48.0487717,17.5672928,9.56,229.28381,48.0487662,17.5672828,230.2561,-4.65855853143561
48.0487662,17.5672828,9.52,230.2561,48.0487607,17.5672727,230.2561,-6.40703090504968
48.0487607,17.5672727,9.52,230.2561,48.0487554,17.5672626,231.31688,-5.13076268591469
48.0487554,17.5672626,9.47,231.31688,48.0487502,17.5672523,231.88686,-6.45915752053823
48.0487502,17.5672523,9.44,231.88686,48.048745,17.5672421,232.77063,-6.07978676637126
48.048745,17.5672421,9.43,232.77063,48.0487398,17.5672317,233.08707,-7.35394462890781
48.0487398,17.5672317,9.43,233.08707,48.0487348,17.5672213,234.02419,-6.75453970120365
48.0487348,17.5672213,9.38,234.02419,48.0487299,17.567211,234.28076,-7.95581837518409
48.0487299,17.567211,9.32,234.28076,48.048725,17.5672006,234.6054,-8.09820390295341
48.048725,17.5672006,9.36,234.6054,48.0487202,17.5671901,235.1626,-8.03534040580364
48.0487202,17.5671901,9.28,235.1626,48.0487153,17.5671796,235.39852,-8.61208784981707
48.0487153,17.5671796,9.33,235.39852,48.0487106,17.5671692,235.52012,-8.83812748088638
48.0487106,17.5671692,9.25,235.52012,48.0487058,17.5671587,235.77808,-8.78632434521973
48.0487058,17.5671587,9.24,235.77808,48.0487011,17.5671483,235.84388,-9.09208260608779
48.0487011,17.5671483,9.25,235.84388,48.0486964,17.5671379,235.73643,-9.34420448514889
48.0486964,17.5671379,9.23,235.73643,48.0486917,17.5671274,236.09478,-8.80373098873278
48.0486917,17.5671274,9.18,236.09478,48.0486871,17.567117,236.44481,-8.90977670116413
48.0486871,17.567117,9.2,236.44481,48.0486824,17.5671063,236.42509,-9.79913667142078
48.0486824,17.5671063,9.15,236.42509,48.0486779,17.5670959,236.86537,-8.9765323370932
48.0486779,17.5670959,9.13,236.86537,48.0486733,17.5670855,237.01273,-9.43847750969151
48.0486733,17.5670855,9.1,237.01273,48.0486688,17.567075,237.00679,-9.93325206968812
48.0486688,17.567075,9.06,237.00679,48.0486644,17.5670646,237.29414,-9.50733039659224
48.0486644,17.5670646,9.13,237.29414,48.0486599,17.5670541,237.3651,-9.86634502292775
48.0486599,17.5670541,9.08,237.3651,48.0486556,17.5670438,237.52128,-9.71745840063736
48.0486556,17.5670438,9.05,237.52128,48.0486512,17.5670333,237.84147,-9.72851754523561
48.0486512,17.5670333,9,237.84147,48.0486468,17.5670229,238.25267,-9.59659662652707
48.0486468,17.5670229,9,238.25267,48.0486425,17.5670124,238.2858,-10.4514361206906
48.0486425,17.5670124,8.95,238.2858,48.0486383,17.567002,238.46125,-10.2563110513209
48.0486383,17.567002,8.96,238.46125,48.048634,17.5669916,238.81593,-9.95102696946589
48.048634,17.5669916,8.93,238.81593,48.0486298,17.5669812,238.50105,-11.1107938102564
48.0486298,17.5669812,8.89,238.50105,48.0486256,17.5669708,238.7848,-10.2149262035991
48.0486256,17.5669708,8.9,238.7848,48.0486213,17.5669605,238.38047,-11.0500854795923
48.0486213,17.5669605,8.86,238.38047,48.0486171,17.5669502,238.61442,-10.1550201670876
48.0486171,17.5669502,8.81,238.61442,48.048613,17.5669399,238.21871,-11.2558338260166
48.048613,17.5669399,8.87,238.21871,48.0486087,17.5669297,238.63609,-9.62576895917199
48.0486087,17.5669297,8.74,238.63609,48.0486044,17.5669195,237.62443,-11.926461912649
48.0486044,17.5669195,8.83,237.62443,48.0486001,17.5669095,237.56296,-9.94399655234217
48.0486001,17.5669095,8.73,237.56296,48.0485958,17.5668994,237.73084,-9.83018666062601
48.0485958,17.5668994,8.75,237.73084,48.0485914,17.5668895,237.60516,-9.92409901416446
48.0485914,17.5668895,8.74,237.60516,48.0485869,17.5668796,235.99213,-11.9624821146622
48.0485869,17.5668796,8.69,235.99213,48.0485824,17.5668699,236.33867,-8.50282177288353
48.0485824,17.5668699,8.71,236.33867,48.0485778,17.5668603,234.55787,-11.4259206366564
48.0485778,17.5668603,8.67,234.55787,48.0485731,17.5668507,235.02599,-7.65740986013751
48.0485731,17.5668507,8.6,235.02599,48.0485684,17.5668414,233.6982,-10.0463388986416
48.0485684,17.5668414,8.68,233.6982,48.0485635,17.5668323,232.73531,-8.64728715878294
48.0485635,17.5668323,8.59,232.73531,48.0485585,17.5668231,230.76954,-9.93251988928805
48.0485585,17.5668231,8.5,230.76954,48.0485534,17.5668143,230.53118,-6.34510782688434
48.0485534,17.5668143,8.57,230.53118,48.0485482,17.5668056,229.05986,-7.78845317460878
48.0485482,17.5668056,8.52,229.05986,48.0485429,17.5667972,227.88379,-6.5035143089952
48.0485429,17.5667972,8.47,227.88379,48.0485374,17.566789,227.88379,-4.02007993415629
48.0485374,17.566789,8.47,227.88379,48.0485317,17.566781,224.82867,-7.98670953460959
48.0485317,17.566781,8.46,224.82867,48.048526,17.5667734,223.0757,-4.77612611093113
48.048526,17.5667734,8.48,223.0757,48.0485201,17.5667659,221.1314,-4.20096030999277
48.0485201,17.5667659,8.42,221.1314,48.0485141,17.5667588,220.1075,-1.75925953121523
48.0485141,17.5667588,8.39,220.1075,48.0485048,17.5667486,218.24629,-1.56990608801949
48.0485048,17.5667486,8.41,218.24629,48.0484986,17.5667422,216.13527,-1.59363055034766
48.0484986,17.5667422,8.29,216.13527,48.0484922,17.5667361,214.18957,-0.21250395373749
48.0484922,17.5667361,8.21,214.18957,48.0484858,17.5667302,213.09512,1.77243052215094
48.0484858,17.5667302,8.21,213.09512,48.0484793,17.5667246,211.30586,1.41986498975816
48.0484793,17.5667246,8.23,211.30586,48.0484727,17.5667194,209.30887,2.02088131734434
48.0484727,17.5667194,8.21,209.30887,48.0484661,17.5667144,207.75081,3.3208933825164
48.0484661,17.5667144,8.15,207.75081,48.0484593,17.5667099,206.14032,4.31147866164341
48.0484593,17.5667099,8.06,206.14032,48.0484524,17.5667056,203.92645,4.07271625016464
48.0484524,17.5667056,8.11,203.92645,48.0484456,17.5667018,202.52845,5.92384799438567
48.0484456,17.5667018,8.04,202.52845,48.0484384,17.5666981,200.5694,6.05802846033852
48.0484384,17.5666981,8.02,200.5694,48.0484313,17.566695,198.30357,6.10001112793925
48.0484313,17.566695,8,198.30357,48.0484242,17.5666922,196.23237,6.92259639077693
48.0484242,17.5666922,7.99,196.23237,48.0484171,17.56669,194.59818,8.18674913047897
48.0484171,17.56669,8.02,194.59818,48.04841,17.566688,192.47962,7.62060334437358
48.04841,17.566688,8.04,192.47962,48.0484028,17.5666863,190.48187,8.27320738067039
48.0484028,17.5666863,7.93,190.48187,48.0483956,17.566685,188.50677,8.7090000907321
48.0483956,17.566685,7.97,188.50677,48.0483884,17.5666841,186.69198,9.14485713101376
48.0483884,17.5666841,7.89,186.69198,48.0483812,17.5666835,184.98393,9.55728197274759
48.0483812,17.5666835,7.93,184.98393,48.048374,17.5666833,182.69083,8.58811929661203
48.048374,17.5666833,7.82,182.69083,48.0483668,17.5666836,180.90442,9.65063922898398
48.0483668,17.5666836,7.85,180.90442,48.0483597,17.5666841,178.65043,8.58570460763271
48.0483597,17.5666841,7.86,178.65043,48.0483526,17.5666851,176.78926,9.17302191513884
48.0483526,17.5666851,7.83,176.78926,48.0483454,17.5666863,174.74946,8.9417522392001
48.0483454,17.5666863,7.8,174.74946,48.0483384,17.5666879,172.64932,8.30860111826294
48.0483384,17.5666879,7.76,172.64932,48.0483315,17.56669,170.79734,8.33324238856632
48.0483315,17.56669,7.77,170.79734,48.0483247,17.5666925,168.60167,7.17657200515359
48.0483247,17.5666925,7.72,168.60167,48.0483179,17.5666953,166.2453,6.52898656567177
48.0483179,17.5666953,7.67,166.2453,48.0483112,17.5666984,164.39193,6.9039875741054
48.0483112,17.5666984,7.7,164.39193,48.0483046,17.5667019,162.72593,6.5717329923897
48.0483046,17.5667019,7.69,162.72593,48.0482981,17.5667057,160.33363,4.52208827996615
48.0482981,17.5667057,7.64,160.33363,48.0482917,17.5667098,158.32868,4.51582640788313
48.0482917,17.5667098,7.61,158.32868,48.0482853,17.5667142,156.50562,4.28467772355873
48.0482853,17.5667142,7.61,156.50562,48.0482792,17.5667188,154.58594,3.04782814024382
48.0482792,17.5667188,7.61,154.58594,48.0482731,17.5667238,152.82448,2.61242937224088
48.0482731,17.5667238,7.56,152.82448,48.0482672,17.5667291,151.15314,1.81566286636583
48.0482672,17.5667291,7.55,151.15314,48.0482614,17.5667346,148.70143,-0.549451497355824
48.0482614,17.5667346,7.49,148.70143,48.0482557,17.5667404,146.96157,-0.142581460353006
48.0482557,17.5667404,7.45,146.96157,48.0482502,17.5667465,145.24556,-1.17432602471641
48.0482502,17.5667465,7.54,145.24556,48.0482448,17.5667527,143.36119,-2.24795154269652
48.0482448,17.5667527,7.48,143.36119,48.0482394,17.5667592,142.21569,-1.55523155287255
48.0482394,17.5667592,7.5,142.21569,48.0482341,17.5667659,140.98418,-2.43269484352594
48.0482341,17.5667659,7.52,140.98418,48.0482289,17.5667728,139.49041,-3.70783991019615
48.0482289,17.5667728,7.56,139.49041,48.0482237,17.5667799,138.02219,-4.30954763684029
48.0482237,17.5667799,7.6,138.02219,48.0482186,17.5667873,137.0097,-4.26918268995323
48.0482186,17.5667873,7.63,137.0097,48.0482137,17.5667949,135.65024,-5.79142279754596
