LAT,LON,GSPEED,CRS,NLAT,NLON,NCRS,CMD
48.0504511,17.5697131,0.82,209.35145,48.0504504,17.5697125,208.75295,-0.0555793306997722
48.0504504,17.5697125,0.89,208.75295,48.0504496,17.5697118,208.97508,4.07924202086327
48.0504496,17.5697118,0.93,208.97508,48.0504488,17.5697112,209.55402,5.96353769202879
48.0504488,17.5697112,0.93,209.55402,48.050448,17.5697104,208.77161,-1.01076715393064
48.050448,17.5697104,0.96,208.77161,48.0504453,17.5697082,209.53834,13.563198562399
48.0504453,17.5697082,1.04,209.53834,48.0504444,17.5697075,209.61568,3.74570168979135
48.0504444,17.5697075,1.18,209.61568,48.0504434,17.5697067,209.01959,1.0429376548502
48.0504434,17.5697067,1.18,209.01959,48.0504424,17.5697058,208.35599,0.51194825617386
48.0504424,17.5697058,1.2,208.35599,48.0504414,17.569705,210.10864,10.6145813009423
48.0504414,17.569705,1.22,210.10864,48.0504403,17.5697041,207.743,-5.83952653127391
48.0504403,17.5697041,1.29,207.743,48.0504392,17.5697031,210.33954,13.4874696167962
48.0504392,17.5697031,1.35,210.33954,48.050438,17.5697022,208.5441,-2.91268646296954
48.050438,17.5697022,1.4,208.5441,48.0504369,17.5697012,208.44707,2.87471486813628
48.0504369,17.5697012,1.41,208.44707,48.0504356,17.5697002,209.37803,7.84570557967511
48.0504356,17.5697002,1.48,209.37803,48.0504344,17.5696992,208.08284,-1.17446639864339
48.0504344,17.5696992,1.53,208.08284,48.0504331,17.5696981,209.88315,10.3619852793167
48.0504331,17.5696981,1.59,209.88315,48.0504317,17.569697,209.14543,1.49221698979811
48.0504317,17.569697,1.63,209.14543,48.0504257,17.569692,209.56012,17.6476946099316
48.0504257,17.569692,1.87,209.56012,48.0504224,17.5696893,207.31702,1.67631666495672
48.0504224,17.5696893,2.04,207.31702,48.050419,17.5696864,208.60362,12.4701493786975
48.050419,17.5696864,2.15,208.60362,48.0504171,17.5696849,210.01955,9.04060946371602
48.0504171,17.5696849,2.21,210.01955,48.0504152,17.5696833,209.53576,2.74654099252688
48.0504152,17.5696833,2.32,209.53576,48.0504133,17.5696818,209.07339,3.02822298180114
48.0504133,17.5696818,2.38,209.07339,48.0504113,17.5696801,208.52314,2.7618455782598
48.0504113,17.5696801,2.39,208.52314,48.0504092,17.5696784,209.27203,6.97193339425896
48.0504092,17.5696784,2.52,209.27203,48.0504071,17.5696767,209.11443,4.08013258348031
48.0504071,17.5696767,2.53,209.11443,48.050405,17.5696748,208.47287,2.32572188180768
48.050405,17.5696748,2.66,208.47287,48.0504005,17.5696712,208.84198,10.5625188373488
48.0504005,17.5696712,2.76,208.84198,48.0503982,17.5696692,209.13294,5.20635651948233
48.0503982,17.5696692,2.84,209.13294,48.0503958,17.5696673,209.42071,5.5968032178567
48.0503958,17.5696673,2.88,209.42071,48.0503934,17.5696653,208.66582,2.58560051758153
48.0503934,17.5696653,2.95,208.66582,48.0503884,17.5696613,208.82243,10.2174189021239
48.0503884,17.5696613,3.06,208.82243,48.0503858,17.5696592,208.33445,3.730824828136
48.0503858,17.5696592,3.15,208.33445,48.0503832,17.5696571,207.71013,3.40247415235822
48.0503832,17.5696571,3.16,207.71013,48.050375,17.5696506,208.81912,17.980351241698
48.050375,17.5696506,3.35,208.81912,48.0503665,17.5696438,208.02357,13.4020671501965
