LAT,LON,GSPEED,CRS,NLAT,NLON
48.0492077,17.567827299999998,0.03,310.52605,48.0492073,17.5678269
48.0492073,17.5678269,0.24,214.15297,48.0492066,17.5678263
48.0492066,17.5678263,0.6,212.42818000000003,48.0492049,17.567825199999998
48.0492049,17.567825199999998,0.9400000000000001,207.45924000000002,48.0492036,17.567823999999998
48.0492036,17.567823999999998,1.47,208.35769000000002,48.049202099999995,17.5678226
48.049202099999995,17.5678226,1.75,209.90074,48.0492005,17.5678208
48.0492005,17.5678208,2.0300000000000002,214.33182000000002,48.049198999999994,17.5678189
48.049198999999994,17.5678189,2.11,216.5405,48.049196699999996,17.567816
48.049196699999996,17.567816,2.23,220.44116000000002,48.0491951,17.567814
48.0491951,17.567814,2.18,220.52229000000003,48.049193599999995,17.567812099999998
48.049193599999995,17.567812099999998,2.2,221.41481000000002,48.0491921,17.5678101
48.0491921,17.5678101,2.14,219.37047,48.049190599999996,17.5678083
48.049190599999996,17.5678083,2.21,220.23806000000002,48.0491891,17.5678064
48.0491891,17.5678064,2.12,221.02854000000002,48.049187499999995,17.5678046
48.049187499999995,17.5678046,2.09,218.51720000000003,48.0491859,17.5678028
48.0491859,17.5678028,2.21,217.86610000000002,48.0491843,17.567800899999998
48.0491843,17.567800899999998,2.15,217.71312000000003,48.0491824,17.5677989
48.0491824,17.5677989,2.3000000000000003,217.2587,48.0491794,17.5677958
48.0491794,17.5677958,2.52,215.35059,48.0491761,17.5677922
48.0491761,17.5677922,2.7600000000000002,214.87691,48.049173599999996,17.5677897
48.049173599999996,17.5677897,3.13,215.28606000000002,48.0491709,17.567786899999998
48.0491709,17.567786899999998,3.31,214.33657000000002,48.049167999999995,17.567784
48.049167999999995,17.567784,3.56,215.17598,48.0491649,17.567780799999998
48.0491649,17.567780799999998,3.94,215.22136,48.0491616,17.5677776
48.0491616,17.5677776,4.1,213.53111,48.049158299999995,17.5677743
48.049158299999995,17.5677743,4.26,213.99592,48.0491549,17.567771
48.0491549,17.567771,4.34,213.52141000000003,48.0491494,17.5677657
48.0491494,17.5677657,4.45,213.20964,48.0491434,17.567760099999997
48.0491434,17.567760099999997,4.8100000000000005,214.12349,48.0491392,17.567756
48.0491392,17.567756,5.37,213.03848000000002,48.049134699999996,17.567751599999998
48.049134699999996,17.567751599999998,5.53,212.28680000000003,48.0491299,17.5677471
48.0491299,17.5677471,5.93,212.90964000000002,48.0491198,17.5677368
48.0491198,17.5677368,6.57,212.85076,48.049114499999995,17.5677313
48.049114499999995,17.5677313,6.82,213.77234,48.0491092,17.5677257
48.0491092,17.5677257,7.18,215.10596,48.049103599999995,17.5677198
48.049103599999995,17.5677198,7.08,215.12231000000003,48.0490693,17.5676825
48.0490693,17.5676825,8.84,216.06793000000002,48.0490624,17.5676749
48.0490624,17.5676749,9.200000000000001,216.49268,48.0490554,17.567667099999998
48.0490554,17.567667099999998,9.450000000000001,216.59975000000003,48.049048299999995,17.567658899999998
48.049048299999995,17.567658899999998,9.56,216.79158,48.049037399999996,17.5676462
48.049037399999996,17.5676462,9.82,218.28516000000002,48.0490265,17.5676328
48.0490265,17.5676328,9.82,218.28516000000002,48.0490189,17.5676234
48.0490189,17.5676234,10.5,219.56198,48.049011199999995,17.567613899999998
48.049011199999995,17.567613899999998,10.72,219.84724000000003,48.0490034,17.567604
48.0490034,17.567604,10.94,219.88420000000002,48.0489952,17.5675941
48.0489952,17.5675941,11.22,220.23682000000002,48.048987,17.5675839
48.048987,17.5675839,11.48,219.19726000000003,48.0489786,17.5675737
48.0489786,17.5675737,11.59,219.63633000000002,48.0489701,17.5675633
48.0489701,17.5675633,11.84,219.00248000000002,48.0489616,17.5675527
48.0489616,17.5675527,11.97,219.5669,48.048952799999995,17.5675419
48.048952799999995,17.5675419,12.22,219.57394000000002,48.048944,17.5675307
48.048944,17.5675307,12.41,219.60578,48.0489351,17.5675193
48.0489351,17.5675193,12.67,220.55360000000002,48.0489216,17.5675016
48.0489216,17.5675016,12.780000000000001,220.29513000000003,48.0489124,17.5674894
48.0489124,17.5674894,12.780000000000001,220.29513000000003,48.0489032,17.5674769
48.0489032,17.5674769,13.41,221.91840000000002,48.048893799999995,17.5674641
48.048893799999995,17.5674641,13.63,221.91638000000003,48.0488844,17.5674508
48.0488844,17.5674508,13.9,222.73543,48.048870199999996,17.567430599999998
48.048870199999996,17.567430599999998,14.24,223.67350000000002,48.0488608,17.567417199999998
48.0488608,17.567417199999998,14.200000000000001,223.69268000000002,48.0488375,17.5673833
48.0488375,17.5673833,14.14,224.13644000000002,48.0488284,17.5673697
48.0488284,17.5673697,14.13,224.57252000000003,48.0488193,17.5673562
48.0488193,17.5673562,14.08,224.99555,48.0488103,17.5673423
48.0488103,17.5673423,14.08,225.0354,48.048801499999996,17.5673283
48.048801499999996,17.5673283,14.030000000000001,226.26909,48.048788599999995,17.5673072
48.048788599999995,17.5673072,14.030000000000001,226.74022000000002,48.048780099999995,17.567292899999998
48.048780099999995,17.567292899999998,13.96,228.22064000000003,48.0487677,17.567271299999998
48.0487677,17.567271299999998,13.88,228.77800000000002,48.0487555,17.5672496
48.0487555,17.5672496,13.89,229.64072000000002,48.0487476,17.5672349
48.0487476,17.5672349,13.780000000000001,230.29648000000003,48.0487399,17.5672201
48.0487399,17.5672201,13.75,231.23401,48.0487323,17.5672051
48.0487323,17.5672051,13.72,232.32503000000003,48.048725,17.56719
48.048725,17.56719,13.68,233.24143,48.0487177,17.567174899999998
48.0487177,17.567174899999998,13.620000000000001,234.04903000000002,48.048707099999994,17.567152
