LAT,LON,GSPEED,CRS,NLAT,NLON
48.0492382,17.5678619,5.11,218.89939,48.0492351,17.567857999999998
48.0492351,17.567857999999998,4.79,220.1356,48.0492322,17.5678545
48.0492322,17.5678545,4.44,219.65864000000002,48.049229399999994,17.5678514
48.049229399999994,17.5678514,4.03,216.69770000000003,48.049226999999995,17.567848599999998
48.049226999999995,17.567848599999998,3.69,216.97884000000002,48.049224699999996,17.567846
48.049224699999996,17.567846,3.34,218.19173,48.049222699999994,17.5678439
48.049222699999994,17.5678439,3.06,216.68822000000003,48.0492201,17.5678411
48.0492201,17.5678411,2.66,215.44294000000002,48.0492187,17.567839499999998
48.0492187,17.567839499999998,2.18,215.82414000000003,48.0492176,17.5678383
48.0492176,17.5678383,1.87,214.26204,48.049216699999995,17.5678373
48.049216699999995,17.5678373,1.49,216.06225,48.049216099999995,17.5678366
48.049216099999995,17.5678366,1.08,218.03136,48.0492157,17.5678362
48.0492157,17.5678362,0.81,215.16016000000002,48.049215499999995,17.5678359
48.049215499999995,17.5678359,0.41000000000000003,216.10785,48.0492154,17.567835799999997
48.0492154,17.567835799999997,0.25,221.24865000000003,48.0492153,17.5678356
48.0492153,17.5678356,0.22,214.13197000000002,48.0492152,17.567835499999997
48.0492152,17.567835499999997,0.19,219.79225000000002,48.0492151,17.5678354
48.0492151,17.5678354,0.15,222.47581000000002,48.049214899999996,17.567835199999998
48.049214899999996,17.567835199999998,0.14,222.89622000000003,48.049214799999994,17.567835
48.049214799999994,17.567835,0.15,213.69802,48.0492147,17.567835
48.0492147,17.567835,0.12,218.10975000000002,48.0492146,17.567834899999998
48.0492146,17.567834899999998,0.1,215.38323000000003,48.0492146,17.5678348
48.0492146,17.5678348,0.08,215.38323000000003,48.0492145,17.5678348
48.0492145,17.5678348,0.09,215.38323000000003,48.0492145,17.5678347
48.0492145,17.5678347,0.07,215.38323000000003,48.0492144,17.5678347
48.0492144,17.5678347,0.03,215.38323000000003,48.0492145,17.5678347
48.0492145,17.5678347,0.02,215.38323000000003,48.0492144,17.5678347
48.0492144,17.5678347,0.01,215.38323000000003,48.0492144,17.5678348
48.0492144,17.5678348,0.04,215.38323000000003,48.0492144,17.5678347
48.0492144,17.5678347,0.02,215.38323000000003,48.0492145,17.5678347
48.0492145,17.5678347,0.01,215.38323000000003,48.0492144,17.5678347
48.0492144,17.5678347,0.03,215.38323000000003,48.0492144,17.5678348
48.0492144,17.5678348,0.03,215.38323000000003,48.0492144,17.5678347
48.0492144,17.5678347,0.05,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.02,279.78416000000004,48.0492145,17.5678348
48.0492145,17.5678348,0.03,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.03,279.78416000000004,48.0492145,17.5678348
48.0492145,17.5678348,0.01,279.78416000000004,48.0492144,17.5678347
48.0492144,17.5678347,0.01,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.01,279.78416000000004,48.0492145,17.5678348
48.0492145,17.5678348,0.03,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.01,279.78416000000004,48.0492145,17.5678348
48.0492145,17.5678348,0.02,279.78416000000004,48.0492144,17.5678347
48.0492144,17.5678347,0.02,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.01,279.78416000000004,48.0492145,17.5678348
48.0492145,17.5678348,0.01,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.05,279.78416000000004,48.0492144,17.5678347
48.0492144,17.5678347,0.02,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.0,279.78416000000004,48.0492145,17.5678348
48.0492145,17.5678348,0.0,279.78416000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.05,279.78416000000004,48.0492145,17.5678348
48.0492145,17.5678348,0.04,279.78416000000004,48.0492144,17.5678347
48.0492144,17.5678347,0.03,331.46105,48.0492144,17.5678348
48.0492144,17.5678348,0.03,255.86449000000002,48.0492144,17.5678347
48.0492144,17.5678347,0.02,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.02,298.22857000000005,48.0492145,17.5678347
48.0492145,17.5678347,0.04,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.02,298.22857000000005,48.0492145,17.5678347
48.0492145,17.5678347,0.02,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.01,298.22857000000005,48.0492145,17.5678347
48.0492145,17.5678347,0.03,298.22857000000005,48.0492144,17.5678347
48.0492144,17.5678347,0.05,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.04,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.02,298.22857000000005,48.0492144,17.5678347
48.0492144,17.5678347,0.02,298.22857000000005,48.0492145,17.5678347
48.0492145,17.5678347,0.02,298.22857000000005,48.0492144,17.5678347
48.0492144,17.5678347,0.0,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.04,298.22857000000005,48.0492144,17.5678347
48.0492144,17.5678347,0.03,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.04,298.22857000000005,48.0492144,17.5678347
48.0492144,17.5678347,0.01,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.02,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.02,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.01,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.01,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.02,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.02,298.22857000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.06,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.01,298.22857000000005,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.03,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.02,298.22857000000005,48.0492145,17.5678347
48.0492145,17.5678347,0.02,298.22857000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.05,298.22857000000005,48.0492146,17.567834899999998
48.0492146,17.567834899999998,0.02,298.22857000000005,48.0492147,17.567835
48.0492147,17.567835,0.05,6.8155600000000005,48.0492147,17.567834899999998
48.0492147,17.567834899999998,0.04,30.371570000000002,48.0492147,17.567835
48.0492147,17.567835,0.01,30.371570000000002,48.0492146,17.5678348
48.0492146,17.5678348,0.01,30.371570000000002,48.0492145,17.5678348
48.0492145,17.5678348,0.03,301.27344000000005,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.05,301.27344000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.0,301.27344000000005,48.0492144,17.5678348
48.0492144,17.5678348,0.05,301.27344000000005,48.0492145,17.5678348
48.0492145,17.5678348,0.05,301.27344000000005,48.0492144,17.5678347
48.0492144,17.5678347,0.03,301.27344000000005,48.0492145,17.5678347
48.0492145,17.5678347,0.03,278.36717000000004,48.0492144,17.5678347
48.0492144,17.5678347,0.02,278.36717000000004,48.0492144,17.5678348
48.0492144,17.5678348,0.04,210.91983000000002,48.0492144,17.5678347
48.0492144,17.5678347,0.03,148.43777,48.0492144,17.5678348
48.0492144,17.5678348,0.03,148.43777,48.0492144,17.5678347
48.0492144,17.5678347,0.01,148.43777,48.0492144,17.5678348
48.0492144,17.5678348,0.03,148.43777,48.0492144,17.5678347
48.0492144,17.5678347,0.02,148.43777,48.0492144,17.5678348
48.0492144,17.5678348,0.02,148.43777,48.0492145,17.5678348
48.0492145,17.5678348,0.02,148.43777,48.0492144,17.5678348
48.0492144,17.5678348,0.01,148.43777,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.03,148.43777,48.0492144,17.5678348
48.0492144,17.5678348,0.01,148.43777,48.049214299999996,17.5678347
48.049214299999996,17.5678347,0.0,107.3224,48.0492144,17.5678347
48.0492144,17.5678347,0.03,107.3224,48.049214299999996,17.5678347
48.049214299999996,17.5678347,0.03,107.3224,48.0492144,17.5678347
48.0492144,17.5678347,0.01,107.3224,48.049214299999996,17.5678347
48.049214299999996,17.5678347,0.02,107.3224,48.0492144,17.5678347
48.0492144,17.5678347,0.02,107.3224,48.0492144,17.5678348
48.0492144,17.5678348,0.03,107.3224,48.0492145,17.5678348
48.0492145,17.5678348,0.04,107.3224,48.0492144,17.5678348
48.0492144,17.5678348,0.02,107.3224,48.0492145,17.5678348
48.0492145,17.5678348,0.03,107.3224,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.03,107.3224,48.0492145,17.5678348
48.0492145,17.5678348,0.02,107.3224,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.04,107.3224,48.0492145,17.5678348
48.0492145,17.5678348,0.01,107.3224,48.0492144,17.5678348
48.0492144,17.5678348,0.02,107.3224,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.01,107.3224,48.0492145,17.5678348
48.0492145,17.5678348,0.03,107.3224,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.01,107.3224,48.0492144,17.567834899999998
48.0492144,17.567834899999998,0.02,107.3224,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.03,107.3224,48.0492145,17.567835
48.0492145,17.567835,0.01,107.3224,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.02,107.3224,48.0492144,17.567834899999998
48.0492144,17.567834899999998,0.02,107.3224,48.0492145,17.567834899999998
48.0492145,17.567834899999998,0.02,107.3224,48.0492144,17.567834899999998
